ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46648772,-23544521,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato (Inclui +Ènibus Biblioteca),,"R Gal Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
2,-46410875,-23569612,355030825000247,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Adelaide de Castro Alves GuimarÒes - CEU Inacio Monteiro,,"R Br Barroso do Amazonas, s/n -  Prestes Maia",6518.9014,Prestes Maia,,2,1,2003/11/21,
3,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,"R Taquari, 549",6292-5126,Mooca,03166-00,2,1,1965/02/02,
4,-46700703,-23480837,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av Elísio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1966/04/16,
5,-46681791,-23557945,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima (Temßtica em Poesia - 02/09/2006),,"R Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11,
6,-46592066,-23503401,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Alvares  de Azevedo,,Pc Joaquim José da Nova s/n,6954-3118,Vila Maria,02126-00,2,1,1956/09/07,
7,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alvaro Guerra,,"R Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,2,1,1955/05/15,
8,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R JosÚ Cl¾vis Castro s/n,5061-3320,Jardim da Sa·de,04290-10,2,1,1966/10/06,
9,-46680251,-23766963,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ana Aurora do Amaral Lisboa - CEU TrÛs Lagos,,"Es do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
10,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R Cojuba, 45",3078-6352,Itaim,,2,1,1946/01/25,
11,-46688383,-23447468,355030811000221,3550308005189,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Augusto dos Anjos - CEU Paz,,"R da Paz, s/n",3986.3450,BrasilÔndia,,2,1,2004/05/15,
12,-46547401,-23594544,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,"R Otto Schubart, 196",6211-7716,Parque SÒo Lucas,03238-03,2,1,1981/07/08,
13,-46473056,-23509239,355030887000129,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,Barbosa Lima Sobrinho CEU Parque SÒo  Carlos,,"R Clarear, 141 - Jdim. SÒo  Carlos",6145.4255,Jardim SÒo Carlos,,2,1,2003/12/03,
14,-46707708,-23650058,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Belmonte (Temßtica em Cultura Popular - 04/08/2007),,"R Paulo Eiró, 525",5687-0408,Santo Amaro,04754-01,2,1,1953/01/25,
15,-46610337,-23526021,355030856000018,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Biblioteca Adelfa Figueiredo,,"Pc Ilo Otani, 146",2697-0013,Caninde,03028-00,2,1,1966/10/06,
16,-46639819,-23569854,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Biblioteca de Braile - Centro Cultural SÒo Paulo,,"R Vergueiro, 1.000",3397-4002,ParaÝso,01504-00,2,1,1947/04/29,
17,-46651000,-23547665,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R da Consolação, 1.024",3257-8787,ConsolaþÒo,01302-00,2,1,,
18,-46641586,-23546742,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ènibus Biblioteca,,"R da Consolação, 94",3241-3459,ConsolaþÒo,01302-00,2,1,,
19,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av Quarto Centenßrio, 1268 - PortÒo 7A",,Pq. Ibirapuera,04502-00,2,1,1993/12/12,
