ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
45,-46411435,-23569249,355030825000247,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEU Inácio Monteiro,Biblioteca Adelaide de Castro Alves Guimarães,"R. Br. Barroso do Amazonas, s/n - Prestes Maia",6518.9014 / 44,Prestes Maia,,2,1,,
46,-46650864,-23548038,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R. da Consolaþão, 1.024",3257-8787,Consolação,,2,1,,
47,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R. José Clóvis Castro s/n,5061-3320,Jardim da Saúde,,2,1,,
48,-46480027,-23485906,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,Rubens Borba Morais,,"R. Sampei Sato, 440",6943-5255,Ermelino Matarazzo,,2,1,,
49,-46700976,-23481049,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av. Elísio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02963-00,2,1,,
50,-46660389,-23742645,355030830000293,3550308005304,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CEU Navegantes,Biblioteca Narcisa Amália Campos,"R. Maria Moassab Barbour, s/n",5976.5544/30 /5976,Graja·,,2,1,,
51,-46679930,-23768351,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CEU Três Lagos,Biblioteca Ana Aurora do Amaral Lisboa,"Estrada do Barro Branco, s/n - J. Noronha",5976.5661 / 44,Jardim Noronha,,2,1,,
52,-46448954,-23603032,355030833000070,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,CEU São Mateus,Biblioteca,"R. Curumatim, 221  Pque Boa Esperanþa",6732.8154 / 59,Parque Boa Esperança,,2,1,,
53,-46583212,-23621287,355030868000250,3550308005086,69,SACOMA,13,IPIRANGA,Sul,Sul 1,CEU Meninos,Biblioteca Wally Salomão,"R. Barbinos, 111 - J. Patente",6945.2543 / 56 / 39,Jardim Patente,,2,1,,
54,-46602064,-23587474,355030834000014,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Ministro Genésio Almeida Moura,,"R. Cisplatina, 505",273-2390,Ipiranga,,2,1,,
