ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
96,-46742300,-23671954,355030846000005,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CC do M'Boi Mirim,,"Rua Inácio Dias da Silva, s/n",5514-3408,M'Boi Mirim,,3,1,,
97,-46702445,-23710727,355030823000062,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CC de Interlagos,,"Rua Padre José  Garzotti, 545",5669-2765,Cidade Dutra,,3,1,,
98,-46707285,-23651477,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Casa Amarela,,"Praça Floriano Peixoto, 131",246-0226,Santo Amaro,,3,1,,
99,-46708298,-23646134,355030871000033,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,CC de Santo Amaro,,"Praça Francisco Ferreira Lopes, 434",5522-8897,Santo Amaro,04754-01,3,1,,
100,-46732208,-23586791,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,CC do Butantã,,"Rua Junta Mizumoto, 13",3742-6218,Jardim Peri-Peri,,3,1,,
101,-46662293,-23555336,355030826000037,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Galeria da Consolação,,Pass. subterrânea entre Av. Paulista,3151-0639,Consolação,,3,1,,
102,-46695620,-23522001,355030848000036,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Espaço Cultural  Tendal da Lapa,,"Rua Guaicurus, 1.100",3862-1837,Lapa,,3,1,,
103,-46698464,-23500929,355030829000047,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CC Salvador Ligabue (Antiga CC da Freguesia do Ó),,"Largo da Matriz, 215",3931-8266,Freguesia do Ó,,3,1,,
104,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil),,"Rua Arsênio Tavolieri, 45",5011-2421,Jabaquara,04321-03,3,1,,
105,-46608462,-23615052,355030868000197,3550308005085,27,CURSINO,13,IPIRANGA,Sul,Sul 1,CC Chico Science (Antiga CC do Ipiranga),,"Av. Tancredo Neves, 1.265",6969-7066,Moinho Velho,04127-14,3,1,,
106,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,,"Rua Vergueiro, 1.000",3277-3611  R. 26,Paraíso,,3,1,,
107,-46639033,-23542624,355030866000018,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Galeria Olido,Espaço Piolim,"Av. São João, 473 - Mezanino",3334-0001,Centro,,3,1,,
108,-46582127,-23532788,355030880000128,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,CC do Tatuapé,,"Rua Guabiju, 49",296-4330,Tatuapé,03065-02,3,1,,
109,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,CC da Penha,,"Largo do Rosário, 20 -, 30 andar",296-6172,Penha,03634-00,3,1,,
110,-46443211,-23552861,355030847000096,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CC Raul Seixas,,"Rua Murmúrios da Tarde, 211 Parque Raul Seixas Cohab II",6521-6411,Itaquera,08210-59,3,1,,
111,-46435525,-23494732,355030874000095,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CC São Miguel Paulista,,"Av. Marechal Tito, 916",6137-5009/297-9177,São Miguel Paulista,,3,1,,
112,-46428812,-23506263,355030884000142,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CC Chico Mendes,,"Rua Cembira, 1.202",6135-3022,Vila Curuçá,08010-09,3,1,,
113,-46395151,-23498557,355030836000105,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CC do Itaim Paulista,,"Rua Barão de Alagoas, 340",6963-2742,Itaim Paulista,,3,1,,
114,-46715444,-23563749,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Paço das Artes,,"Av. da Universidade, 1",,Cidade Universitária,,3,2,,
115,-46655157,-23586442,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,OCA - Pavilhão Lucas Nogueira Garcez,,"Rua Pedro Álvares Cabral, s/n - Portão 2 e 3, Pavilhão Lucas Nogueira Garcez",5549-0449,Parque Ibirapuera,,3,2,,
116,-46644460,-23570690,355030890000197,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Casa das Rosas - Galeria,,"Av. Paulista, 37",288-9447/251-5271,Vila Mariana,,3,2,,
117,-46650829,-23545666,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Instituto Universitário Maria Antônia,,"Rua Maria Antônia, 294  - 20 andar",3255-5538,Vila Buarque,,3,2,,
118,-46660035,-23529116,355030869000094,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,Memorial da América Latina,,"Rua Mário de Andrade, 664",3823-9611,Barra Funda,,3,2,,
