ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Álvaro Guerra,,"R. Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,1,1,,
2,-46712270,-23441676,355030842000289,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Érico Veríssimo,,"Rua Diógenes Dourado, 101",3972-0450,Parada Taipas,02815-14,1,1,,
3,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pça. Ilo Otani, 146",292-3439,Canindé,03028-00,1,1,,
4,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R. Cojuba, 45",3078-6352,Itaim,04533-04,1,1,,
5,-46707914,-23650236,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Benedito Bastos Barreto,,"Rua Paulo Eiró, 525",5687-0408,Santo Amaro,04754-01,1,1,,
6,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R. Waldemar Sanches, 41",3731-5210,Butantã,05589-05,1,1,,
7,-46590081,-23630984,355030868000054,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Castro Alves,,"R. Abrahão Mussa, s/n",6946-4562,Jd. Patente,04256-19,1,1,,
8,-46709740,-23530132,355030848000023,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Cecília Meireles,,"R. Araçatuba, 522",3834-0004,V. Romana,05058-01,1,1,,
9,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil),Dr. Joaquim José de Carvalho,"R. Arsãnio Tavolieri, 45",5011-8819,Jabaquara,04321-03,1,1,,
10,-46623240,-23583377,355030890000044,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Chácara do Castelo,,"R. Brás Lourenço, 333",5573-4929,Jd. da Glória,04113-11,1,1,,
11,-46701146,-23535156,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Clarice Lispector,,"R. Jaricunas, 458",3672-1423,Vila Ipojuca,05053-07,1,1,,
