ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1284,-46648625,-23550701,355030826000083,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,O Lugar,,"R Augusta, 325",3237-3224,Centro,,9,4,,70
1285,-46645866,-23548625,355030866000030,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Espaço Satyros,,"Pc Franklin Roosevelt, 214",3258-6345,República,,9,4,,70
1286,-46654822,-23537946,355030869000079,3550308005028,70,SANTA CECILIA,9,SE,Centro,Centro,Macabi,,"Av Angélica,  634",3826-8411,Higienópolis,,9,4,,350
1287,-46658838,-23528544,355030869000095,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,CB,,"R Brig. Galvão, 871",3666-8971,Barra Funda,,9,4,,350
1288,-46650998,-23540088,355030869000106,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Eapaco Cultural Viva Maria,,"R Canuto do Val, 85",4474-6090,Santa Cecília,,9,4,,250
1289,-46649830,-23538711,355030869000069,3550308005014,70,SANTA CECILIA,9,SE,Centro,Centro,Cafe São  Paulo Conceito,,"R Santa Cecília, 52",3337-3766,Santa Cecília,,9,4,,80
1290,-46644544,-23557832,355030807000014,3550308005010,07,BELA VISTA,9,SE,Centro,Centro,Teatro Denoy de Oliveira,,"R Rui Barbosa, 323",3288-1894,Bela Vista,,9,4,,100
1291,-46644832,-23548834,355030866000011,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Ocean Club,,"R Nestor Pestana, 189",3083-5876,Consolação,,9,4,,3000
1292,-46645159,-23547660,355030866000030,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Odissey Club,,"R Nestor Pestana, 60",3129-5056,Consolação,,9,4,,1500
1293,-46644426,-23546153,355030866000016,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Sapori di Rosi,,"Av Ipiranga, 200, térreo do edifício Copan",3120-4442,República,,9,4,,150
1294,-46643192,-23546956,355030866000013,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Royal,,"R da Consolação, 222",3129-9804,Consolação,,9,4,,350
