ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46648772,-23544521,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato (Inclui +Ônibus Biblioteca),,"R Gal Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
2,-46410875,-23569612,355030825000247,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,Adelaide de Castro Alves Guimarães - CEU Inacio Monteiro,,"R Br Barroso do Amazonas, s/n -  Prestes Maia",6518.9014,Prestes Maia,,2,1,2003/11/21,
3,-46610337,-23526021,355030856000018,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pc Ilo Otani, 146",292-3439,Caninde,03028-00,2,1,1966/10/06,
4,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,"R Taquari, 549",6292-5126,Mooca,03166-00,2,1,1965/02/02,
5,-46700703,-23480837,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av Elísio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1966/04/16,
6,-46681791,-23557945,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima (Temática em Poesia - 02/09/2006),,"R Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11,
7,-46592066,-23503401,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Alvares  de Azevedo,,Pc Joaquim José da Nova s/n,6954-3118,Vila Maria,02126-00,2,1,1956/09/07,
8,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alvaro Guerra,,"R Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,2,1,1955/05/15,
9,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R José Clóvis Castro s/n,5061-3320,Jardim da Saúde,04290-10,2,1,1966/10/06,
10,-46680251,-23766963,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ana Aurora do Amaral Lisboa - CEU Três Lagos,,"Es do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
11,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R Cojuba, 45",3078-6352,Itaim,,2,1,1946/01/25,
12,-46688383,-23447468,355030811000221,3550308005189,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Augusto dos Anjos - CEU Paz,,"R da Paz, s/n",3986.3450,Brasilândia,,2,1,2004/05/15,
13,-46547401,-23594544,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,"R Otto Schubart, 196",6211-7716,Parque São Lucas,03238-03,2,1,1981/07/08,
14,-46473056,-23509239,355030887000129,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,Barbosa Lima Sobrinho CEU Parque São  Carlos,,"R Clarear, 141 - Jdim. São  Carlos",6145.4255,Jardim São Carlos,,2,1,2003/12/03,
15,-46707708,-23650058,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Belmonte (Temática em Cultura Popular - 04/08/2007),,"R Paulo Eiro, 525",5687-0408,Santo Amaro,04754-01,2,1,1953/01/25,
16,-46639819,-23569854,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Biblioteca de Braile - Centro Cultural São Paulo,,"R Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1947/04/29,
17,-46651000,-23547665,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R da Consolação, 1.024",3257-8787,Consolação,01302-00,2,1,,
18,-46641586,-23546742,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,"R da Consolação, 94",3241-3459,Consolação,01302-00,2,1,,
19,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av República do Líbano, 1.151 - Portão 7",3253-2331,Pq. Ibirapuera,04502-00,2,1,,
20,-46574846,-23528840,355030880000052,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Bosque de Leitura - Piqueri,,"R Tuiuti, 515",3253-2331,Tatuapé,03081-00,2,1,2007/10/21,
21,-46777806,-23413823,355030803000050,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,Bosque de Leitura Anhanguera,,"Av Fotunata Tadiello Natucci, 1000 (continuacão da R Sílvio de Campos)",,Perus,05204-000,2,1,2007/10/21,
22,-46628607,-23571915,355030849000008,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,Bosque de Leitura da Aclimação,,"R Muniz de Souza, 1119",,Aclimação,01534-001,2,1,,
23,-46633372,-23532059,355030809000012,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,Bosque de Leitura da Luz,,"R Ribeiro de Lima, 99 - Parque da Luz",,Luz,,2,1,,
24,-46468298,-23569899,355030857000078,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,Bosque de Leitura do Carmo,,"Av Afonso de Sampaio e Souza, 951",,Parque do Carmo,,2,1,,
25,-46739866,-23485379,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca,,"Av Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,1965/03/04,
26,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R Valdemar Sanches, 41",3731-5210,Butantã,05589-05,2,1,1988/11/06,
27,-46448766,-23602704,355030833000070,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,Camilo Pedro dos Reis - CEU São  Mateus,,"R Curumatim, 201 - Pque Boa Esperanca",6732.8154,Parque Boa Esperança,,2,1,2003/11/08,
28,-46571487,-23535622,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Cassiano Ricardo (Temática em Música - 10/11/2007),,"Av Celso Garcia, 4.200",6192-4570,Tatuapé,03064-00,2,1,1953/02/03,
29,-46589805,-23630876,355030868000054,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Castro Alves,,"R Abrahao Mussa, s/n",6946-4562,Jd. Patente,04256-19,2,1,1988/11/06,
30,-46670054,-23475764,355030813000078,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Centro Cultural da Juventude Ruth Cardoso,Biblioteca do Centro Cultural da Juventude,"Av Deputado Emílio Carlos, 3641",3984-2466,Vila Nova Cachoeirinha,,2,1,,
31,-46406242,-23593711,355030825000208,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEU Água Azul,,"Avenida dos Metalúrgicos, 1262 ",,Cidade Tiradentes,08471-000,2,1,,
