ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS,,,,
33,-46548395,-23525340,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Senhora Leandro Dupré,,R. Dr. João A. Ribeiro s/n,295-9624,Penha,03634-00,1,1
34,-46484430,-23546304,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Jovina Rocha Álvares Pessoa,,Av. Padre Francisco de Toledo 331 Co,6741-7371,Itaquera,03590-12,1,1
35,-46434958,-23553479,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vinícius de Morais,,R. Jardim Tamoio 1.119 - Itaquera II,6521-6914,Itaquera,08255-01,1,1
36,-46409170,-23544924,355030831000036,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,Cora Coralina,,R. Otelo A. Ribeiro 113,6557-8004,Guaianazes,08461-00,1,1
37,-46420291,-23501443,355030884000193,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,Vicente Paulo Guimarães,,R. Jaguar 225,6135-5322,V. Curuçá,08030-46,1,1
38,-46773718,-23632178,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Helena Silveira,,João B. Reimão 146,5841-1259,Campo Limpo,05788-27,2,1
39,-46708349,-23645678,355030871000035,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Presidente Kennedy,,Av. João Dias 822,5687-0513,Santo Amaro,04724-00,2,1
40,-46740634,-23484700,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca,,Av. Mutinga 1.425,3904-1444,Pirituba,05110-00,2,1
41,-46664465,-23589850,355030832000032,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,Av. República do Líbano 1151 - Portã,3253-2331 r. 376,Pq. Ibirapuera,04502-00,2,1
42,-46681575,-23558856,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima,,R. Henrique Schaumann777,3082-5023,Pinheiros,05413-02,2,1
43,-46700465,-23526665,355030848000003,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Francisco Patti,,R. Catão 611,3672-0456,Lapa,05049-00,2,1
44,-46700976,-23481049,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,Av. Elísio T. Leite 1.470,3975-2305,Vila Cruz das Alm,02801-00,2,1
45,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil,Paulo Duarte,R. Arsênio Tavolieri 45,5011-7445,Jabaquara,04321-03,2,1
46,-46615948,-23612004,355030827000030,3550308005044,27,CURSINO,13,IPIRANGA,Sul,Sul 1,Amadeu Amaral,,R. José Clóvis Castro s/nº,5061-3320,Jardim da Saúde,04290-10,2,1
47,-46548167,-23594347,355030872000014,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,Aureliano Leite,,R. Otto Schubart 196,6211-7716,Parque São Lucas,03238-03,2,1
48,-46515993,-23600491,355030876000027,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,Gilberto Freyre,,R. José Joaquim 290,6103-1811,Sapopemba,03272-00,2,1
49,-46639678,-23569660,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,Sergio Milliet,Rua Vergueiro 1000,3277-3611 r. 240,Paraiso,01504-00,2,1
50,-46639678,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Centro Cultural São Paulo,Biblioteca de Braile,Rua Vergueiro 1000,3277-3611 r. 246,Paraiso,01504-00,2,1
51,-46650864,-23548038,355030826000081,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,R. da Consolação 1.024,3257-8787,Consolação,01302-00,2,1
52,-46642036,-23547475,355030866000003,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,Mário de Andrade,,R. da Consolação 94,3241-3459,Consolação,01302-00,2,1
53,-46641222,-23547697,355030866000006,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,R. da Consolação 94,255-0626,Consolação,01302-00,2,1
54,-46602064,-23587474,355030834000014,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,Ministro Genésio Almeida Moura,,R. Cisplatina 505,273-2390,Ipiranga,04211-04,2,1
55,-46597482,-23550688,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,Affonso Taunay,,R. Taquari 549,292-5126,Moóca,03166-00,2,1
56,-46631979,-23481814,355030851000070,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,Pedro da Silva Nava,,Av. Engº Caetano Álvares 5.903,6973-7293,Mandaqui,02413-10,2,1
57,-46619249,-23498019,355030870000042,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Nuto Sant'Anna,,Pça. Tenório Aguiar 32,6973-0072,Santana,02044-08,2,1
58,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,Pça. Ilo Ottani 146,6694-0013,Canindé,03028-00,2,1
59,-46604139,-23481041,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Dinah Silveira de Queirós,,Av. Tucuruvi 808,6981-6263,Tucuruvi,02304-00,2,1
60,-46571682,-23535614,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Cassiano Ricardo,,Av. Celso Garcia 4.200,6192-4570,Tatuapé,03064-00,2,1
61,-46574846,-23528840,355030880000052,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Bosque de Leitura - Piqueri,,Rua Tuiuti 515,3253-2331 r. 375/37,Tatuapé,03081-00,2,1
62,-46540077,-23571307,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,Paulo Setúbal,,Av. Renata 163,6211-1507,Vila Formosa,03377-00,2,1
63,-46592268,-23503619,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Álvares de Azevedo,,Pça. J. J. da Nova s/nº,6954-3118,Vila Maria,02126-00,2,1
64,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Guilherme de Almeida,,Lgo. do Rosário 20. 2.0 andar,295-0401,Penha,03634-00,2,1
65,-46511255,-23560375,355030824000147,3550308005150,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,Milton Santos,,Av. Aricanduva 5777,6726-4882,Jardim Aricanduva,03527-00,2,1
66,-46484401,-23546283,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Plínio Ayrosa,,Av. Padre Francisco de Toledo 331,6741-0371,Cohab.I Itaquera,03590-12,2,1
67,-46480027,-23485906,355030828000102,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,Rubens Borba Morais,,R. Sampei Sato 440,6943-5255,Ermelino Matarazz,03814-00,2,1
68,-46448722,-23533131,355030837000015,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,Sérgio Buarque de Holanda,,R. Augusto C. Baumann 564,6205-7406,Itaquera,08210-59,2,1
69,-46440326,-23549953,355030847000068,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vicente de Carvalho,,R. Guilherme Valência 210,6521-0553,Cohab.II Itaquera,08253-28,2,1
70,-46405085,-23536611,355030896000004,3550308005259,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,Jamil Almansur Haddad,,R. Andes 491-A,6557-0067,Guaianases,08440-18,2,1
71,-46435529,-23494783,355030874000095,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,Raimundo de Menezes,,Av. Marechal Tito 916,6297-4053,São Miguel Paulis,08010-09,2,1
72,-46725327,-23558172,355030812000038,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Biblioteca Central da USP,,Cidade Universitária,818-5360,Cidade Universitá,05508-90,2,2
73,-46652511,-23551261,355030826000142,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Arquivo do Estado - Biblioteca,,Rua D. Antônia de Queiroz 183,,Consolação,01307-01,2,2
74,-46638118,-23534636,355030866000115,3550308005003,67,REPUBLICA,9,SE,Centro,Centro,CONDEPHAAT - Biblioteca,,Rua Mauá 51,3351-8002/8004,Centro,,2,2
75,-46742300,-23671954,355030846000005,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CC do M'Boi Mirim,,Rua Inácio Dias da Silva s/n,5514-3408,M'Boi Mirim,04913-18,3,1
76,-46702445,-23710727,355030823000062,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CC de Interlagos,,Rua Padre José  Garzotti 545,5669-2765,Cidade Dutra,04806-00,3,1
77,-46707285,-23651477,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Casa Amarela,,Praça Floriano Peixoto 131,246-0226,Santo Amaro,04751-03,3,1
